wl[micrometers],n
2.0664e-01,1.0752e+00
2.0767e-01,1.0835e+00
2.0870e-01,1.0921e+00
2.0975e-01,1.1011e+00
2.1081e-01,1.1104e+00
2.1188e-01,1.1201e+00
2.1295e-01,1.1303e+00
2.1404e-01,1.1410e+00
2.1515e-01,1.1522e+00
2.1626e-01,1.1640e+00
2.1738e-01,1.1765e+00
2.1852e-01,1.1896e+00
2.1967e-01,1.2036e+00
2.2083e-01,1.2184e+00
2.2200e-01,1.2342e+00
2.2318e-01,1.2511e+00
2.2438e-01,1.2692e+00
2.2559e-01,1.2887e+00
2.2681e-01,1.3097e+00
2.2805e-01,1.3325e+00
2.2930e-01,1.3572e+00
2.3057e-01,1.3841e+00
2.3184e-01,1.4136e+00
2.3314e-01,1.4460e+00
2.3444e-01,1.4817e+00
2.3577e-01,1.5214e+00
2.3710e-01,1.5656e+00
2.3845e-01,1.6152e+00
2.3982e-01,1.6711e+00
2.4120e-01,1.7347e+00
2.4260e-01,1.8077e+00
2.4402e-01,1.8923e+00
2.4545e-01,1.9915e+00
2.4690e-01,2.1089e+00
2.4837e-01,2.2487e+00
2.4985e-01,2.4139e+00
2.5135e-01,2.6026e+00
2.5287e-01,2.8014e+00
2.5441e-01,2.9856e+00
2.5597e-01,3.1332e+00
2.5755e-01,3.2409e+00
2.5914e-01,3.3219e+00
2.6076e-01,3.3908e+00
2.6239e-01,3.4558e+00
2.6405e-01,3.5194e+00
2.6573e-01,3.5818e+00
2.6743e-01,3.6421e+00
2.6915e-01,3.6999e+00
2.7089e-01,3.7546e+00
2.7266e-01,3.8054e+00
2.7445e-01,3.8508e+00
2.7626e-01,3.8889e+00
2.7810e-01,3.9173e+00
2.7996e-01,3.9343e+00
2.8185e-01,3.9393e+00
2.8376e-01,3.9324e+00
2.8570e-01,3.9153e+00
2.8766e-01,3.8898e+00
2.8966e-01,3.8583e+00
2.9168e-01,3.8227e+00
2.9372e-01,3.7851e+00
2.9580e-01,3.7467e+00
2.9791e-01,3.7088e+00
3.0005e-01,3.6723e+00
3.0222e-01,3.6377e+00
3.0442e-01,3.6054e+00
3.0665e-01,3.5757e+00
3.0891e-01,3.5487e+00
3.1121e-01,3.5245e+00
3.1354e-01,3.5031e+00
3.1591e-01,3.4845e+00
3.1832e-01,3.4686e+00
3.2076e-01,3.4553e+00
3.2324e-01,3.4446e+00
3.2576e-01,3.4365e+00
3.2831e-01,3.4307e+00
3.3091e-01,3.4272e+00
3.3355e-01,3.4260e+00
3.3623e-01,3.4270e+00
3.3896e-01,3.4302e+00
3.4173e-01,3.4354e+00
3.4454e-01,3.4427e+00
3.4741e-01,3.4521e+00
3.5032e-01,3.4636e+00
3.5328e-01,3.4775e+00
3.5629e-01,3.4938e+00
3.5935e-01,3.5130e+00
3.6246e-01,3.5358e+00
3.6563e-01,3.5632e+00
3.6886e-01,3.5967e+00
3.7214e-01,3.6387e+00
3.7548e-01,3.6926e+00
