wl[micrometers],n
1.879E-1,8.351E-1
1.881E-1,8.394E-1
1.884E-1,8.434E-1
1.887E-1,8.475E-1
1.890E-1,8.518E-1
1.893E-1,8.558E-1
1.896E-1,8.598E-1
1.899E-1,8.640E-1
1.902E-1,8.679E-1
1.905E-1,8.720E-1
1.907E-1,8.760E-1
1.910E-1,8.800E-1
1.913E-1,8.840E-1
1.916E-1,8.880E-1
1.919E-1,8.918E-1
1.922E-1,8.958E-1
1.925E-1,8.998E-1
1.928E-1,9.035E-1
1.931E-1,9.074E-1
1.934E-1,9.113E-1
1.937E-1,9.152E-1
1.940E-1,9.189E-1
1.943E-1,9.228E-1
1.946E-1,9.265E-1
1.949E-1,9.302E-1
1.953E-1,9.340E-1
1.956E-1,9.377E-1
1.959E-1,9.414E-1
1.962E-1,9.450E-1
1.965E-1,9.487E-1
1.968E-1,9.523E-1
1.971E-1,9.560E-1
1.974E-1,9.598E-1
1.977E-1,9.633E-1
1.981E-1,9.668E-1
1.984E-1,9.705E-1
1.987E-1,9.741E-1
1.990E-1,9.779E-1
1.993E-1,9.814E-1
1.997E-1,9.851E-1
2.000E-1,9.888E-1
2.003E-1,9.925E-1
2.006E-1,9.964E-1
2.009E-1,1.000E+0
2.013E-1,1.004E+0
2.016E-1,1.008E+0
2.019E-1,1.012E+0
2.023E-1,1.016E+0
2.026E-1,1.021E+0
2.029E-1,1.025E+0
2.033E-1,1.030E+0
2.036E-1,1.034E+0
2.039E-1,1.039E+0
2.043E-1,1.045E+0
2.046E-1,1.050E+0
2.049E-1,1.056E+0
2.053E-1,1.061E+0
2.056E-1,1.067E+0
2.060E-1,1.074E+0
2.063E-1,1.080E+0
2.066E-1,1.087E+0
2.070E-1,1.094E+0
2.073E-1,1.102E+0
2.077E-1,1.109E+0
2.080E-1,1.117E+0
2.084E-1,1.125E+0
2.087E-1,1.134E+0
2.091E-1,1.143E+0
2.094E-1,1.152E+0
2.098E-1,1.161E+0
2.101E-1,1.170E+0
2.105E-1,1.180E+0
2.109E-1,1.190E+0
2.112E-1,1.200E+0
2.116E-1,1.210E+0
2.119E-1,1.220E+0
2.123E-1,1.231E+0
2.127E-1,1.241E+0
2.130E-1,1.251E+0
2.134E-1,1.262E+0
2.138E-1,1.272E+0
2.141E-1,1.283E+0
